============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.3, pluggy-1.6.0 -- /home/lulu/investments-assistant/investments-assistant-local-machine/.venv/bin/python
cachedir: .pytest_cache
rootdir: /home/lulu/investments-assistant/investments-assistant-local-machine
configfile: pyproject.toml
plugins: anyio-4.13.0, asyncio-1.3.0, cov-7.1.0
tests/unit/acceptance_network_test.py::test_same_origin_uses_actual_connection_scheme[wss-https://localhost:8443] PASSED [ 11%]
tests/unit/acceptance_network_test.py::test_untrusted_peer_cannot_forge_forwarded_scheme PASSED [ 11%]
tests/unit/acceptance_reports_test.py::test_report_period_is_half_open_and_undated_records_are_not_facts PASSED [ 11%]
tests/unit/acceptance_reports_test.py::test_report_never_truncates_json_into_a_broken_document PASSED [ 11%]
tests/unit/acceptance_workflows_test.py::test_default_portfolio_evidence_request PASSED [ 12%]
tests/unit/acceptance_workflows_test.py::test_scanner_acquires_all_three_read_scopes PASSED [ 12%]
tests/unit/acceptance_workflows_test.py::test_exchange_is_not_a_ticker PASSED [ 12%]
tests/unit/acceptance_workflows_test.py::test_external_data_cannot_expand_privileged_catalog PASSED [ 12%]
tests/unit/acceptance_workflows_test.py::test_evidence_budget_preserves_valid_json PASSED [ 13%]
tests/unit/agent_workflow_test.py::test_report_request_defaults_to_the_last_seven_days PASSED [ 13%]
tests/unit/agent_workflow_test.py::test_report_request_preserves_explicit_period PASSED [ 13%]
tests/unit/agent_workflow_test.py::test_simulation_request_parses_quick_prompt PASSED [ 13%]
tests/unit/agent_workflow_test.py::test_simulation_result_is_actionable_and_safe PASSED [ 14%]
tests/unit/agent_workflow_test.py::test_news_prefetch_extracts_topic_and_uses_market_news_tool PASSED [ 14%]
tests/unit/agent_workflow_test.py::test_intermediate_model_messages_are_not_final_answers[I will analyze the news and sentiment and provide a summary.] PASSED [ 14%]
tests/unit/agent_workflow_test.py::test_intermediate_model_messages_are_not_final_answers[Please wait for my analysis.] PASSED [ 14%]
tests/unit/agent_workflow_test.py::test_intermediate_model_messages_are_not_final_answers[Let me check the latest data.] PASSED [ 15%]
tests/unit/agent_workflow_test.py::test_news_fallback_is_a_completed_answer PASSED [ 15%]
tests/unit/agent_workflow_test.py::test_market_fallback_includes_every_snapshot_asset PASSED [ 15%]
tests/unit/agent_workflow_test.py::test_length_truncation_uses_complete_market_fallback PASSED [ 15%]
tests/unit/agent_workflow_test.py::test_stream_response_repairs_progress_only_output_before_emitting_final PASSED [ 16%]
tests/unit/agent_workflow_test.py::test_tool_progress_text_is_buffered_until_the_final_turn PASSED [ 16%]
tests/unit/auth_test.py::TestPasswordHashing::test_hash_round_trip PASSED [ 16%]
tests/unit/auth_test.py::TestPasswordHashing::test_short_password_rejected PASSED [ 17%]
tests/unit/auth_test.py::TestPasswordHashing::test_malformed_hash_rejected PASSED [ 17%]
tests/unit/auth_test.py::TestSignedSessions::test_session_round_trip_and_tamper_detection PASSED [ 17%]
tests/unit/auth_test.py::TestSignedSessions::test_unknown_user_rejected PASSED [ 17%]
tests/unit/bank_provider_test.py::test_errors_are_typed_and_do_not_leak_provider_payload[302-PROVIDER_REQUEST_REJECTED] PASSED [ 18%]
tests/unit/bank_provider_test.py::test_errors_are_typed_and_do_not_leak_provider_payload[401-CONSENT_OR_TOKEN_REQUIRED] PASSED [ 18%]
tests/unit/bank_provider_test.py::test_errors_are_typed_and_do_not_leak_provider_payload[402-PROVIDER_ACCESS_REQUIRES_DECISION] PASSED [ 18%]
tests/unit/bank_provider_test.py::test_errors_are_typed_and_do_not_leak_provider_payload[429-PROVIDER_RATE_LIMIT] PASSED [ 18%]
tests/unit/bank_provider_test.py::test_errors_are_typed_and_do_not_leak_provider_payload[503-PROVIDER_UNAVAILABLE] PASSED [ 19%]
tests/unit/bank_provider_test.py::test_response_bound_and_account_path_injection PASSED [ 19%]
tests/unit/bank_provider_test.py::test_production_bank_network_requires_separate_configuration PASSED [ 19%]
tests/unit/bank_provider_test.py::test_signed_amount_and_pending_lifecycle[refund--10.004-10.004] PASSED [ 19%]
tests/unit/bank_provider_test.py::test_signed_amount_and_pending_lifecycle[transfer--10.004--10.004] PASSED [ 20%]
tests/unit/bank_provider_test.py::test_signed_amount_and_pending_lifecycle[transfer-10.004-10.004] PASSED [ 20%]
tests/unit/bank_provider_test.py::test_signed_amount_and_pending_lifecycle[debit-10.004--10.004] PASSED [ 20%]
tests/unit/bank_provider_test.py::test_transfer_opposite_directions_have_distinct_fallback_ids PASSED [ 20%]
tests/unit/broker_accounts_test.py::test_broker_config_round_trips_encrypted_without_plaintext_token PASSED [ 21%]
tests/unit/broker_accounts_test.py::test_public_account_masks_short_and_long_secrets PASSED [ 21%]
tests/unit/broker_accounts_test.py::test_broker_boolean_fields_are_strict PASSED [ 21%]
tests/unit/broker_accounts_test.py::test_authenticated_user_without_account_gets_capability_result PASSED [ 21%]
tests/unit/broker_accounts_test.py::test_multiple_accounts_require_explicit_selection PASSED [ 22%]
tests/unit/config_test.py::TestIsIpAllowed::test_ip_inside_cidr_is_allowed PASSED [ 22%]
tests/unit/config_test.py::TestIsIpAllowed::test_ip_outside_cidr_is_denied PASSED [ 22%]
tests/unit/config_test.py::TestIsIpAllowed::test_exact_host_entry_is_allowed PASSED [ 22%]
tests/unit/config_test.py::TestIsIpAllowed::test_exact_host_entry_mismatch_denied PASSED [ 23%]
tests/unit/config_test.py::TestIsIpAllowed::test_multiple_cidrs_comma_separated PASSED [ 23%]
tests/unit/config_test.py::TestIsIpAllowed::test_invalid_ip_string_returns_false PASSED [ 23%]
tests/unit/config_test.py::TestIsIpAllowed::test_ipv6_loopback_matched PASSED [ 23%]
tests/unit/config_test.py::TestIsIpAllowed::test_empty_allowed_ips_denies_everything PASSED [ 24%]
tests/unit/config_test.py::TestIsIpAllowed::test_malformed_cidr_entry_is_skipped PASSED [ 24%]
tests/unit/config_test.py::TestAllowedNetworks::test_returns_list_of_ip_networks PASSED [ 24%]
tests/unit/config_test.py::TestAllowedNetworks::test_empty_string_returns_empty_list PASSED [ 24%]
tests/unit/config_test.py::TestSettingsProperties::test_development_flag PASSED [ 25%]
tests/unit/config_test.py::TestSettingsProperties::test_production_flag PASSED [ 25%]
tests/unit/config_test.py::TestSettingsProperties::test_database_url_format PASSED [ 25%]
tests/unit/config_test.py::TestSettingsProperties::test_auto_allowed_symbols_set_empty PASSED [ 25%]
tests/unit/config_test.py::TestSettingsProperties::test_auto_allowed_symbols_set_parsed PASSED [ 26%]
tests/unit/dispatcher_test.py::TestDispatchTool::test_returns_json_string PASSED [ 26%]
tests/unit/dispatcher_test.py::TestDispatchTool::test_exception_returns_error_json PASSED [ 26%]
tests/unit/dispatcher_test.py::TestDispatchTool::test_non_serialisable_values_coerced PASSED [ 26%]
tests/unit/dispatcher_test.py::TestSetTradingMode::test_model_cannot_change_to_recommend PASSED [ 27%]
tests/unit/dispatcher_test.py::TestSetTradingMode::test_model_cannot_change_to_auto PASSED [ 27%]
tests/unit/dispatcher_test.py::TestSetTradingMode::test_invalid_mode_returns_error PASSED [ 27%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_alpaca_dispatched PASSED [ 27%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_ibkr_dispatched PASSED [ 28%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_ibkr_option_fields_are_forwarded PASSED [ 28%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_coinbase_dispatched PASSED [ 28%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_binance_dispatched PASSED [ 28%]
tests/unit/dispatcher_test.py::TestRouteOrder::test_unknown_broker_returns_error PASSED [ 29%]
tests/unit/dispatcher_test.py::TestCancelOrder::test_alpaca_cancel_dispatched PASSED [ 29%]
tests/unit/dispatcher_test.py::TestCancelOrder::test_ibkr_cancel_dispatched PASSED [ 29%]
tests/unit/dispatcher_test.py::TestCancelOrder::test_unknown_broker_returns_error PASSED [ 29%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_validates_ibkr_option_contract PASSED [ 30%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_rejects_invalid_option_contract[overrides0-require broker] PASSED [ 30%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_rejects_invalid_option_contract[overrides1-valid calendar] PASSED [ 30%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_rejects_invalid_option_contract[overrides2-'C' or 'P'] PASSED [ 30%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_recommend_mode_returns_pending_confirmation PASSED [ 31%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_auto_mode_cannot_execute_without_accepted_authority PASSED [ 31%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_auto_mode_symbol_blocked_when_not_in_allowlist PASSED [ 31%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_allowlist_alone_cannot_authorize_order PASSED [ 31%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_db_persist_failure_does_not_raise PASSED [ 32%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_auto_mode_enforces_notional_cap PASSED [ 32%]
tests/unit/dispatcher_test.py::TestExecuteTrade::test_auto_mode_blocks_market_order_by_default PASSED [ 32%]
tests/unit/download_model_test.py::test_qwen_7b_resolves_current_official_shards PASSED [ 32%]
tests/unit/download_model_test.py::test_resolver_uses_single_file_fallback_when_preferred_source_is_stale PASSED [ 33%]
tests/unit/download_model_test.py::test_resolver_keeps_direct_download_available_during_metadata_outage PASSED [ 33%]
tests/unit/download_model_test.py::test_download_publishes_only_after_complete_file PASSED [ 33%]
tests/unit/download_model_test.py::test_download_removes_partial_file_after_failure PASSED [ 34%]
tests/unit/download_model_test.py::test_failed_shard_download_preserves_an_existing_complete_shard PASSED [ 34%]
tests/unit/email_reader_test.py::TestStripHtml::test_removes_html_tags PASSED [ 34%]
tests/unit/email_reader_test.py::TestStripHtml::test_collapses_whitespace PASSED [ 34%]
tests/unit/email_reader_test.py::TestStripHtml::test_empty_string_returns_empty PASSED [ 35%]
tests/unit/email_reader_test.py::TestStripHtml::test_plain_text_unchanged PASSED [ 35%]
tests/unit/email_reader_test.py::TestStripHtml::test_nested_tags_stripped PASSED [ 35%]
tests/unit/email_reader_test.py::TestDecodeHeaderValue::test_plain_ascii_returned_as_is PASSED [ 35%]
tests/unit/email_reader_test.py::TestDecodeHeaderValue::test_encoded_utf8_decoded PASSED [ 36%]
tests/unit/email_reader_test.py::TestDecodeHeaderValue::test_empty_string PASSED [ 36%]
tests/unit/email_reader_test.py::TestDecodeHeaderValue::test_multiple_parts_joined PASSED [ 36%]
tests/unit/email_reader_test.py::TestExtractBody::test_extracts_plain_text_body PASSED [ 36%]
tests/unit/email_reader_test.py::TestExtractBody::test_extracts_html_as_stripped_text PASSED [ 37%]
tests/unit/email_reader_test.py::TestExtractBody::test_multipart_prefers_plain_over_html PASSED [ 37%]
tests/unit/email_reader_test.py::TestExtractBody::test_multipart_falls_back_to_html_when_no_plain PASSED [ 37%]
tests/unit/email_reader_test.py::TestExtractBody::test_empty_payload_returns_empty PASSED [ 37%]
tests/unit/email_reader_test.py::TestBuildSearchCriteria::test_without_sender_filter PASSED [ 38%]
tests/unit/email_reader_test.py::TestBuildSearchCriteria::test_with_sender_filter PASSED [ 38%]
tests/unit/email_reader_test.py::TestReadAndIngestNewsletters::test_returns_zero_when_no_credentials PASSED [ 38%]
tests/unit/email_reader_test.py::TestReadAndIngestNewsletters::test_imap_login_failure_returns_zero PASSED [ 38%]
tests/unit/email_reader_test.py::TestReadAndIngestNewsletters::test_parses_and_ingests_matching_email PASSED [ 39%]
tests/unit/email_reader_test.py::test_missing_owner_never_connects PASSED [ 39%]
tests/unit/email_reader_test.py::test_inactive_owner_never_connects PASSED [ 39%]
tests/unit/expenses_test.py::TestExpenseNormalisation::test_maps_common_psd2_debit_and_categorises_food PASSED [ 39%]
tests/unit/expenses_test.py::TestExpenseNormalisation::test_maps_positive_salary_as_income PASSED [ 40%]
tests/unit/expenses_test.py::TestExpenseEndpoints::test_summary_is_scoped_to_authenticated_user PASSED [ 40%]
tests/unit/expenses_test.py::TestExpenseEndpoints::test_import_sets_authenticated_owner_and_is_idempotent_shape PASSED [ 40%]
tests/unit/history_adapter_test.py::test_xetra_calendar_observes_dst_and_preserves_eur PASSED [ 40%]
tests/unit/history_adapter_test.py::test_fx_uses_only_a_preceding_daily_close PASSED [ 41%]
tests/unit/history_adapter_test.py::test_unknown_currency_or_exchange_is_not_guessed[None-GER] PASSED [ 41%]
tests/unit/history_adapter_test.py::test_unknown_currency_or_exchange_is_not_guessed[EUR-UNKNOWN] PASSED [ 41%]
tests/unit/history_adapter_test.py::test_holiday_bar_is_rejected_instead_of_inventing_a_session PASSED [ 41%]
tests/unit/inference_lifetime_test.py::test_admission_is_bounded_and_cancelled_waiter_releases_capacity PASSED [ 42%]
tests/unit/inference_lifetime_test.py::test_cancellation_does_not_allow_native_overlap_or_run_tools PASSED [ 42%]
tests/unit/inference_lifetime_test.py::test_context_budget_keeps_valid_evidence_and_user_request PASSED [ 42%]
tests/unit/inference_lifetime_test.py::test_missing_model_is_visible_and_deterministic_reads_remain_available PASSED [ 42%]
tests/unit/market_data_test.py::TestBuildSignals::test_rsi_oversold_produces_bullish_signal PASSED [ 43%]
tests/unit/market_data_test.py::TestBuildSignals::test_rsi_overbought_produces_bearish_signal PASSED [ 43%]
tests/unit/market_data_test.py::TestBuildSignals::test_rsi_neutral_range_produces_no_rsi_signal PASSED [ 43%]
tests/unit/market_data_test.py::TestBuildSignals::test_macd_bullish_crossover PASSED [ 43%]
tests/unit/market_data_test.py::TestBuildSignals::test_macd_bearish_crossover PASSED [ 44%]
tests/unit/market_data_test.py::TestBuildSignals::test_price_above_ema200_uptrend PASSED [ 44%]
tests/unit/market_data_test.py::TestBuildSignals::test_price_below_ema200_downtrend PASSED [ 44%]
tests/unit/market_data_test.py::TestBuildSignals::test_ema200_none_produces_downtrend_signal PASSED [ 44%]
tests/unit/market_data_test.py::TestBuildSignals::test_price_above_upper_bb PASSED [ 45%]
tests/unit/market_data_test.py::TestBuildSignals::test_price_below_lower_bb PASSED [ 45%]
tests/unit/market_data_test.py::TestBuildSignals::test_returns_list PASSED [ 45%]
tests/unit/market_data_test.py::TestDfToRecords::test_empty_df_returns_empty_list PASSED [ 45%]
tests/unit/market_data_test.py::TestDfToRecords::test_returns_correct_number_of_records PASSED [ 46%]
tests/unit/market_data_test.py::TestDfToRecords::test_max_rows_limits_output PASSED [ 46%]
tests/unit/market_data_test.py::TestDfToRecords::test_record_has_expected_keys PASSED [ 46%]
tests/unit/market_data_test.py::TestDfToRecords::test_values_are_rounded PASSED [ 46%]
tests/unit/market_data_test.py::TestOptionRows::test_empty_df_returns_empty_list PASSED [ 47%]
tests/unit/market_data_test.py::TestOptionRows::test_returns_up_to_20_rows PASSED [ 47%]
tests/unit/market_data_test.py::TestOptionRows::test_returns_dicts_with_correct_keys PASSED [ 47%]
tests/unit/market_data_test.py::TestCleanOptionList::test_nan_replaced_with_none PASSED [ 47%]
tests/unit/market_data_test.py::TestCleanOptionList::test_numpy_scalar_unwrapped PASSED [ 48%]
tests/unit/market_data_test.py::TestGetStockData::test_returns_data_for_symbol PASSED [ 48%]
tests/unit/market_data_test.py::TestGetStockData::test_exception_stored_as_error PASSED [ 48%]
tests/unit/market_data_test.py::TestGetTechnicalIndicators::test_returns_expected_keys PASSED [ 48%]
tests/unit/market_data_test.py::TestGetTechnicalIndicators::test_insufficient_data_returns_error PASSED [ 49%]
tests/unit/market_data_test.py::TestGetTechnicalIndicators::test_yfinance_exception_returns_error PASSED [ 49%]
tests/unit/market_data_test.py::TestGetOptionsChain::test_no_options_returns_error PASSED [ 49%]
tests/unit/market_data_test.py::TestGetOptionsChain::test_returns_expiries_dict PASSED [ 50%]
tests/unit/multi_user_test.py::test_sessions_are_isolated_by_user_and_conversation_id PASSED [ 50%]
tests/unit/multi_user_test.py::test_signed_session_preserves_user_identity PASSED [ 50%]
tests/unit/multi_user_test.py::test_trade_confirmation_cannot_cross_user_boundary PASSED [ 50%]
tests/unit/news_ingestion_test.py::TestIngestArticles::test_empty_list_returns_zero PASSED [ 51%]
tests/unit/news_ingestion_test.py::TestIngestArticles::test_articles_without_url_are_skipped PASSED [ 51%]
tests/unit/news_ingestion_test.py::TestIngestArticles::test_valid_articles_inserted PASSED [ 51%]
tests/unit/news_ingestion_test.py::TestIngestArticles::test_session_commit_called PASSED [ 51%]
tests/unit/news_ingestion_test.py::TestRunIngestion::test_calls_fetch_all_and_ingest PASSED [ 52%]
tests/unit/news_ingestion_test.py::TestRunIngestion::test_exception_returns_error_dict PASSED [ 52%]
tests/unit/news_ingestion_test.py::TestRunIngestion::test_days_back_passed_to_fetch_all PASSED [ 52%]
tests/unit/news_ingestion_test.py::TestGetArticleCount::test_returns_row_count PASSED [ 52%]
tests/unit/news_ingestion_test.py::test_unavailable_sources_are_not_reported_as_successful_empty_feed PASSED [ 53%]
tests/unit/news_memory_test.py::TestSearchStoredNews::test_delegates_to_search_news PASSED [ 53%]
tests/unit/news_memory_test.py::TestSearchStoredNews::test_filters_included_in_response PASSED [ 53%]
tests/unit/news_memory_test.py::TestSearchStoredNews::test_passes_all_args_to_search PASSED [ 53%]
tests/unit/news_memory_test.py::TestGetLatestNews::test_returns_articles_and_count PASSED [ 54%]
tests/unit/news_memory_test.py::TestGetLatestNews::test_limit_passed_to_get_recent_headlines PASSED [ 54%]
tests/unit/news_memory_test.py::TestTriggerNewsIngestion::test_delegates_to_run_ingestion PASSED [ 54%]
tests/unit/news_search_test.py::TestSearchNews::test_returns_list_of_dicts PASSED [ 54%]
tests/unit/news_search_test.py::TestSearchNews::test_result_dict_has_expected_keys PASSED [ 55%]
tests/unit/news_search_test.py::TestSearchNews::test_published_at_none_serialised_as_none PASSED [ 55%]
tests/unit/news_search_test.py::TestSearchNews::test_limit_capped_at_100 PASSED [ 55%]
tests/unit/news_search_test.py::TestSearchNews::test_empty_db_returns_empty_list PASSED [ 55%]
tests/unit/news_search_test.py::TestGetRecentHeadlines::test_returns_headlines_list PASSED [ 56%]
tests/unit/news_search_test.py::TestGetRecentHeadlines::test_headline_dict_structure PASSED [ 56%]
tests/unit/news_sources_test.py::TestSentiment::test_positive_words_produce_bullish PASSED [ 56%]
tests/unit/news_sources_test.py::TestSentiment::test_negative_words_produce_bearish PASSED [ 56%]
tests/unit/news_sources_test.py::TestSentiment::test_no_sentiment_words_returns_neutral PASSED [ 57%]
tests/unit/news_sources_test.py::TestSentiment::test_mixed_words_near_zero_returns_neutral PASSED [ 57%]
tests/unit/news_sources_test.py::TestSentiment::test_score_is_bounded_minus_one_to_one PASSED [ 57%]
tests/unit/news_sources_test.py::TestExtractTags::test_known_tickers_are_extracted PASSED [ 57%]
tests/unit/news_sources_test.py::TestExtractTags::test_unknown_symbols_are_excluded PASSED [ 58%]
tests/unit/news_sources_test.py::TestExtractTags::test_empty_text_returns_empty_list PASSED [ 58%]
tests/unit/news_sources_test.py::TestExtractTags::test_returns_sorted_list PASSED [ 58%]
tests/unit/news_sources_test.py::TestExtractTags::test_lowercase_input_not_matched PASSED [ 58%]
tests/unit/news_sources_test.py::TestParseDate::test_rfc2822_format PASSED [ 59%]
tests/unit/news_sources_test.py::TestParseDate::test_iso8601_z_format PASSED [ 59%]
tests/unit/news_sources_test.py::TestParseDate::test_iso8601_offset_format PASSED [ 59%]
tests/unit/news_sources_test.py::TestParseDate::test_date_only_format PASSED [ 59%]
tests/unit/news_sources_test.py::TestParseDate::test_empty_string_returns_none PASSED [ 60%]
tests/unit/news_sources_test.py::TestParseDate::test_invalid_date_returns_none PASSED [ 60%]
tests/unit/news_sources_test.py::TestParseDate::test_result_is_utc_aware PASSED [ 60%]
tests/unit/news_sources_test.py::TestArticleFactory::test_required_fields_present PASSED [ 60%]
tests/unit/news_sources_test.py::TestArticleFactory::test_sentiment_computed_from_text PASSED [ 61%]
tests/unit/news_sources_test.py::TestArticleFactory::test_title_truncated_to_500_chars PASSED [ 61%]
tests/unit/news_sources_test.py::TestArticleFactory::test_summary_truncated_to_2000_chars PASSED [ 61%]
tests/unit/news_sources_test.py::TestArticleFactory::test_tags_list_returned PASSED [ 61%]
tests/unit/news_sources_test.py::TestArticleFactory::test_published_at_parsed_from_raw PASSED [ 62%]
tests/unit/news_sources_test.py::TestArticleFactory::test_content_stored_when_provided PASSED [ 62%]
tests/unit/news_sources_test.py::TestFetchRss::test_returns_list_of_articles PASSED [ 62%]
tests/unit/news_sources_test.py::TestFetchRss::test_entry_without_link_is_skipped PASSED [ 62%]
tests/unit/news_sources_test.py::TestFetchRss::test_feed_failure_is_suppressed PASSED [ 63%]
tests/unit/news_sources_test.py::TestFetchGuardian::test_returns_empty_when_no_api_key PASSED [ 63%]
tests/unit/news_sources_test.py::TestFetchGuardian::test_fetches_articles_with_valid_key PASSED [ 63%]
tests/unit/news_sources_test.py::TestFetchGuardian::test_api_error_returns_partial_results PASSED [ 63%]
tests/unit/news_sources_test.py::TestFetchAll::test_deduplicates_by_url PASSED [ 64%]
tests/unit/news_sources_test.py::TestFetchAll::test_articles_without_url_are_dropped PASSED [ 64%]
tests/unit/news_sources_test.py::test_source_failure_survives_batch_merge PASSED [ 64%]
tests/unit/nft_test.py::test_nft_screen_marks_illiquid_collection_high_risk PASSED [ 64%]
tests/unit/nft_test.py::test_nft_screen_rejects_negative_metrics PASSED  [ 65%]
tests/unit/portfolio_replay_test.py::test_momentum_uses_later_open_and_marks_final_holdings_without_fake_sale PASSED [ 65%]
tests/unit/portfolio_replay_test.py::test_multi_currency_shared_cash_never_labels_usd_as_eur PASSED [ 65%]
tests/unit/portfolio_replay_test.py::test_retained_strategy_flows_have_costs_and_later_fills[buy_and_hold-params0] PASSED [ 65%]
tests/unit/portfolio_replay_test.py::test_retained_strategy_flows_have_costs_and_later_fills[sma_crossover-params1] PASSED [ 66%]
tests/unit/portfolio_replay_test.py::test_retained_strategy_flows_have_costs_and_later_fills[rsi_mean_reversion-params2] PASSED [ 66%]
tests/unit/portfolio_replay_test.py::test_saved_evidence_reproduces_offline_and_detects_edits PASSED [ 66%]
